ID,Category,Sub-Category,Role(s),Decision / Scenario,What the User Does,Risk,Freq,MITRE ATT&CK,Atomic Red Team / Caldera Test,Static Control Today,Why Static Fails,Coach Intervention,Coach Replace?,Deploy Surface,Third-Party Systems for Test,Testbed Simulation Steps,Test Data / Fixtures,Success Metric,Priority
11,Data Leak → Sharing,Make private repo public,Developer,Change GitHub repo from private to public; repo has .env and internal configs,Makes repo public for portfolio; contains secrets and proprietary code,CRITICAL,5-10x/week,"T1567.001 (Exfil to Code Repo)
T1552.001 (Creds in Files)","Atomic: T1567.001 (exfil to code repo)
Atomic: T1552.001 (search filesystem for credentials)
Caldera: Find sensitive files → stage → exfil to Git",Git monitoring (partial),Alert goes to SOC not developer; no content scan before visibility change,At visibility change: 'Repo has 3 files with API keys. Scan and clean before making public?',YES,Browser Extension,GitHub (free account),"1. Create private repo with .env + config secrets
2. Go Settings → Change Visibility
3. Verify extension intercepts with content scan
4. Test clean repo (should pass)","Private repo: .env (AWS keys), config.py (DB strings), clean README, proprietary src/","≥99% secret detection, warning before visibility change completes",P0
12,Data Leak → Sharing,Share with wrong external domain,"Sales, All","Share pricing/proposal with competitor domain, wrong recipient","Emails proposal to competitor, shares Google Sheet with wrong external domain",HIGH,5-10x/week,"T1048 (Exfil Over Alternative Protocol)
T1567 (Exfil Over Web Service)","Custom: Recipient domain validation test
No standard Atomic — create domain mismatch ability",Email DLP (partial),Catches some patterns in email; misses Drive sharing; no domain-vs-CRM validation,At share: 'Sharing pricing with @competitor.com — not in deal team. Continue?',YES,Browser Extension,Google Drive + mock CRM context (JSON),"1. Create test Google Sheet 'Enterprise Pricing 2026'
2. Share with competitor domain email
3. Verify domain mismatch warning
4. Test approved partner (should pass)","Emails: competitor@acme-corp.com (flag), partner@approved.com (pass), personal@gmail.com (warn)","≥90% competitor domain detection, <2% FP on approved domains",P1
13,Data Leak → Exfil,Print sensitive document,All roles,"Print doc with PII, financial data, or source code to physical/virtual printer",Sends customer list or financial report to office printer. No digital trace remains,HIGH,10-30x/day,"T1091 (Replication Through Removable Media — adjacent)
None specific for print","No standard Atomic Red Team test for print exfil
Caldera: Custom ability — monitor print spooler + classify content
Custom: Print job interception + PII scan test",Print monitoring (limited),Most DLP doesn't monitor print queues; physical copy bypasses all digital controls,At print: 'Doc contains 200 customer records. Print audit logged. Continue or export redacted?',PARTIAL,Desktop Agent,Virtual PDF printer (CutePDF/CUPS-PDF),"1. Install virtual PDF printer
2. Open doc with PII
3. Ctrl+P
4. Verify agent intercepts print spooler
5. Check content classification","Test docs: (a) customer list PII, (b) financial report, (c) generic meeting notes. Virtual PDF printer","≥85% sensitive content detection in print jobs, audit log captures doc + classification + user",P1
14,Data Leak → Exfil,Transfer files to USB,All roles,"Copy corporate files to USB drive, external hard drive, or SD card","Drags corporate files to USB for 'backup'; includes customer data, source code",CRITICAL,5-15x/day,"T1052.001 (Exfil Over Physical Medium: USB)
T1025 (Data from Removable Media)","Atomic: T1052.001 (Exfil Over USB — create test file, copy to removable)
Atomic: T1025 (Data from Removable Media)
Caldera: Stockpile — find sensitive files → copy to removable",USB blocking (all-or-nothing),Full blocking kills productivity; allowlisting complex,"At copy to removable: 'Copying 15 files to USB. 3 contain customer data. Block sensitive, allow rest?'",YES,Desktop Agent,USB flash drive,"1. Prep USB
2. Mix sensitive + clean files on desktop
3. Copy to USB
4. Verify per-file classification + selective blocking","Files: customer_db.xlsx (PII), source.py (proprietary), notes.txt (clean), photo.jpg (personal). USB drive","≥95% file copy to removable detected, per-file sensitivity classification works",P1
15,Data Leak → Exfil,Transfer via Bluetooth/AirDrop,All roles,AirDrop/Bluetooth corporate files to personal device,"AirDrops customer report to phone, Bluetooth transfers code to personal laptop",HIGH,2-5x/day,T1011.001 (Exfil Over Other Network Medium: Bluetooth),"Atomic: T1011.001 (Exfil Over Bluetooth)
Custom: AirDrop interception test
Caldera: Custom exfil ability over Bluetooth",Bluetooth policy (limited),Disabling BT breaks headphones/mice; no content-aware filtering,At wireless transfer: 'Sending corporate file via AirDrop. Use approved sharing instead?',PARTIAL,Desktop Agent,Two devices with BT/AirDrop,"1. Enable AirDrop on test Mac
2. AirDrop corporate file to personal device
3. Verify agent intercepts
4. Test personal photo (lower severity)",macOS + second Apple device. Sensitive XLSX + generic PDF,"≥90% wireless file transfer detection, content classification applied",P2
16,Data Leak → Exfil,Clipboard to external app,All roles,Copy corporate data from internal app → paste into unauthorized external app,"Copies customer list from Salesforce, pastes into personal Google Sheet",HIGH,50-100x/day,T1115 (Clipboard Data),"Atomic: T1115 (Clipboard Data — PowerShell/xclip capture)
Caldera: T1115 ability (clipboard collection)
Custom: Cross-app clipboard content classification",Clipboard DLP (rare),Very few tools monitor clipboard; cross-app monitoring technically complex,Monitor clipboard when destination is external. 'Pasting customer data into personal Sheets. Use corporate sharing?',YES,Browser Ext + Desktop Agent,"Salesforce (mock), Google Sheets (personal acct)","1. Mock internal CRM page with customer table
2. Copy data
3. Switch to personal Gmail/Sheets
4. Paste
5. Verify source/destination/content detection","Mock CRM page with customer data. External targets: personal Gmail, Google Sheets, Notepad","≥90% clipboard classification at copy, source/destination context detection",P1
17,Data Leak → Exfil,Upload to personal cloud,All roles,"Sync or upload corporate files to personal Dropbox, iCloud, OneDrive, Google Drive","Installs personal Dropbox, or uploads corporate docs to personal cloud account",HIGH,10-20x/day,"T1567.002 (Exfil to Cloud Storage)
T1537 (Transfer to Cloud Account)","Atomic: T1567.002 (rclone to Mega, AWS S3, Dropbox)
Caldera: Exfil to Cloud — Dropbox/AWS adversary profile
Caldera: Scheduled Transfer (T1029) for periodic exfil",CASB (partial),Misses personal accounts on approved platforms (personal vs corp Google Drive),Detect upload to non-corporate instance: 'Uploading to personal Google Drive. Use corporate drive?',YES,Browser Ext + Desktop Agent,Personal Dropbox/Google Drive (free),"1. Login personal Google Drive
2. Upload corporate file
3. Verify personal vs corporate instance detection
4. Test corporate Drive (should pass)
5. Test rclone-based sync detection",Corporate files. Two Google accounts: corp@company.com + personal@gmail.com. Dropbox free. rclone binary for CLI testing,"≥95% personal vs corporate instance distinction, upload blocked for personal",P0
18,Data Leak → Exfil,Send to personal webmail,All roles,Forward corporate email or attach corporate files to personal Gmail/Yahoo,Forwards deal summary to personal email for 'working from home',HIGH,10-30x/day,"T1048.002 (Exfil Over Asymmetric Encrypted Protocol)
T1114 (Email Collection)","Atomic: T1048.002 (Exfil over HTTPS via curl to file.io)
Atomic: T1048.003 (Exfil over SMTP via Send-MailMessage)
Caldera: Email exfil abilities in Stockpile",Email DLP (partial),Monitors corporate email but not browser webmail; personal email is blind spot,At compose: 'Attaching corporate file to personal Gmail. Use corporate email or approved share?',YES,Browser Extension,Personal Gmail (test),"1. Open personal Gmail
2. Compose, attach corporate file
3. Verify extension detects attachment to personal webmail
4. Test forwarding corporate thread to personal","Personal Gmail test account. Corporate files: customer_list.xlsx, q3_revenue.pdf","≥95% personal webmail detection, file attachment intercepted before send",P0
19,Data Leak → Exfil,Upload to social media,"Marketing, All","Post corporate data, screenshots, or internal info on LinkedIn/Twitter/X",Shares internal dashboard screenshot or unreleased metrics on social media,HIGH,5-10x/day,T1567 (Exfil Over Web Service),"Custom: Social media upload content inspection test
No standard Atomic — create custom web upload detection ability",Web filtering (coarse),Blocking social media entirely impractical; content-level inspection missing,At upload: 'Post contains internal dashboard screenshot. Remove confidential data?',YES,Browser Extension,LinkedIn/Twitter (test accounts),"1. Open LinkedIn
2. Create post with corporate screenshot or metrics
3. Verify extension inspects upload content
4. Test personal post (should pass)","Screenshots: (a) internal Grafana with revenue, (b) Slack internal discussion, (c) vacation photo (pass)","≥80% internal content detection in uploads, <5% FP on personal content",P2
20,Data Leak → Exfil,Send via public chat apps,All roles,"Share corporate files/data via WhatsApp Web, Telegram, Discord","Sends customer data via WhatsApp to colleague, shares doc in personal Discord",HIGH,10-30x/day,"T1567 (Exfil Over Web Service)
T1071.001 (Web Protocols)","Custom: Chat app file upload + sensitive text detection
Atomic: T1071.001 (Application Layer Protocol: Web)
Caldera: Exfil to web service abilities",Chat DLP (limited),Few orgs monitor personal chat apps in browser,At send: 'Sending corporate file via WhatsApp. Use Slack/Teams instead?',YES,Browser Extension,"WhatsApp Web, Telegram Web, Discord (free)","1. Open WhatsApp Web
2. Attach corporate file or paste sensitive text
3. Verify detection
4. Test personal photo/text (should pass)",WhatsApp linked to test phone. Corporate XLSX + sensitive text. Personal content for FP testing,"≥95% file upload detection in chat, ≥85% sensitive text detection",P1
21,Data Leak → Exfil,Share screen with sensitive data visible,All roles,Screen share in Zoom/Webex showing sensitive dashboards or data,Shares screen with Salesforce customer data visible; uploads file to meeting chat with externals,MEDIUM,5-15x/day,T1113 (Screen Capture),"Atomic: T1113 (Screen Capture — screencapture/import on Mac/Linux)
Caldera: T1113 ability (screenshot collection)
Custom: Active window sensitivity scan during screen share",None,No tool monitors content visible during screen share,At screen share: 'Salesforce with customer data visible. Close before sharing?',PARTIAL,Desktop Agent + Browser Ext,Zoom/Webex/Teams (free tier),"1. Start Zoom meeting with external
2. Share screen with sensitive app visible
3. Verify agent detects sensitive window
4. Upload file to meeting chat
5. Clean desktop test (should pass)",Zoom free account. Mock Salesforce page with PII. Mock financial dashboard. Clean desktop,"≥80% sensitive window detection at share time, file upload to external meeting detected",P2
22,Data Leak → Exfil,Transfer via FTP/SFTP/SCP,"Developer, IT Admin",FTP/SFTP/SCP corporate files to personal or unauthorized server,"SCPs database backup to personal VPS, or FTPs customer export to non-corp server",CRITICAL,1-5x/week,"T1048.003 (Exfil Over Unencrypted Protocol)
T1048 (Exfil Over Alternative Protocol)","Atomic: T1048.003 (Exfil via FTP — ftp put, rclone FTP)
Atomic: T1048 (DNS exfil via DNSExfiltrator, ICMP exfil)
Caldera: Exfil Compressed Archive to FTP adversary profile
Caldera: Exfil Over Alternative Protocol abilities",Network monitoring (partial),DLP monitors HTTP/HTTPS but misses FTP/SFTP/SCP protocols,At CLI transfer: 'Transferring customer_backup.sql to external IP. Not in approved destinations. Block?',PARTIAL,Desktop Agent,Docker SFTP server (atmoz/sftp) or local SSH,"1. Docker SFTP container (atmoz/sftp)
2. SCP sensitive file to external server
3. Verify agent detects CLI transfer
4. Validate destination IP against approved list",Docker SFTP image. Sensitive test file. Approved destination JSON. Public test server IP,"≥90% FTP/SFTP/SCP detection, destination validation against approved list",P2
23,Data Leak → Exfil,Use incognito to bypass controls,All roles,Open incognito to access AI tools without extension monitoring,"Opens Chrome Incognito knowing extension doesn't run, pastes data into ChatGPT",HIGH,5-10x/day,T1562.001 (Impair Defenses: Disable/Modify Tools),"Atomic: T1562.001 (Disable/Modify Tools — disable security services)
Custom: Incognito detection + Chrome Enterprise policy enforcement test",Browser policy (partial),Chrome Enterprise can force extensions in incognito but many orgs don't configure,Detect incognito with corp data access. Force extension via Chrome Enterprise policy,PARTIAL,Desktop Agent,None (system browser),"1. Open Chrome Incognito
2. Navigate to ChatGPT
3. Verify desktop agent detects incognito
4. Verify Chrome policy forces extension in incognito
5. Standard browser test (should pass)",Chrome + test extension. Chrome Enterprise policy JSON for incognito enforcement,"≥95% incognito detection, Chrome policy correctly forces extension",P1
24,Data Leak → Exfil,Take screenshot of sensitive content,All roles,"Screenshot support dashboard, financial data, or internal Slack with PII visible","Takes screenshot showing customer names + account balances, shares in bug report",MEDIUM,10-30x/day,T1113 (Screen Capture),"Atomic: T1113 (Screen Capture — screencapture Mac, import Linux, snippingtool Win)
Caldera: T1113 screenshot collection ability
Custom: Post-capture vision model PII scan",DLP (no screenshot coverage),DLP cannot inspect screenshot content; images bypass all text-based DLP,At screenshot: 'Contains visible customer data. Blur sensitive areas?' Auto-blur PII regions,PARTIAL,Desktop Agent,None (OS screenshot tools),"1. Open mock dashboard with PII
2. Screenshot (Cmd+Shift+4 / PrtScn)
3. Verify agent captures event
4. Run vision model for PII detection
5. Clean screenshot test (no PII — should pass)","Mock dashboard HTML: customer names, emails, balances. Vision model for image PII detection","≥75% PII detection in screenshots via vision model, event captured + logged",P2
25,Data Leak → Exfil,Exfil via DNS/ICMP covert channel,"Developer, Attacker",Exfiltrate data via DNS queries or ICMP packets to evade network DLP,Uses DNSExfiltrator or custom ICMP tunnel to bypass all HTTP/HTTPS monitoring,CRITICAL,Rare / targeted,"T1048 (Exfil Over Alternative Protocol)
T1048.001 (Exfil via Symmetric Encrypted Non-C2)","Atomic: T1048 (DNS exfil via dig/nslookup with base64 subdomain encoding)
Atomic: T1048 (ICMP exfil via ping with encoded payload)
Caldera: DNS exfiltration abilities in Stockpile",Network DLP,Network DLP monitors HTTP/S; DNS/ICMP channels are blind spots,"Detect anomalous DNS query patterns (high volume, long subdomains, base64 encoding). Alert + block",PARTIAL,Desktop Agent,DNS server under control (or local resolver),"1. Set up local DNS resolver
2. Run DNSExfiltrator or custom base64-subdomain script
3. Verify agent detects anomalous DNS patterns
4. Test normal DNS resolution (should pass)",DNSExfiltrator tool or custom script. Test file to exfil. Local DNS resolver. Normal traffic baseline,"≥80% detection of DNS exfil patterns (long subdomains, high query rate)",P3
26,Data Leak → Exfil,Mass file deletion (cover tracks),All roles,Mass-delete corporate files after exfiltration to cover tracks,"After USB copy, deletes local copies and empties recycle bin to hide evidence",HIGH,Rare / high-impact,"T1070.004 (Indicator Removal: File Deletion)
T1485 (Data Destruction)","Atomic: T1070.004 (File Deletion — rm, del, shred)
Atomic: T1485 (Data Destruction — overwrite files)
Caldera: Indicator removal abilities in Stockpile",EDR (limited),Logs deletion but doesn't correlate with prior exfiltration,Correlate deletion with prior exfil: 'Deleted 150 files following USB transfer. Security team notified.',PARTIAL,Desktop Agent,None (local filesystem),"1. Create batch of corporate files
2. Copy to USB
3. Delete originals + empty recycle bin
4. Verify agent correlates: USB copy → mass deletion
5. Alert includes both events",100+ test files. USB drive. Timeline correlation engine in agent,"≥90% mass deletion detection, correlation with prior exfil within 24hr",P2
27,Data Leak → Exfil,Large/anomalous volume transfer,All roles,Move unusually large data volume vs behavioral baseline,"Downloads 5GB customer data, exports entire CRM — far exceeds normal volume",HIGH,Anomaly-based,"T1030 (Data Transfer Size Limits)
T1029 (Scheduled Transfer)","Caldera: T1030 (Data Transfer Size Limits — chunked exfil)
Caldera: T1029 (Scheduled Transfer — cron-based periodic exfil)
Atomic: T1567.002 (rclone exfil with large datasets)",UEBA (delayed),Flags anomalies hours/days later; no real-time intervention,Real-time: 'Downloaded 4.7GB today (avg 200MB). Includes customer_database_full.sql. Continue?',PARTIAL,Desktop Agent + Browser Ext,None (internal systems),"1. Establish baseline: small ops over simulated period
2. Download >1GB sensitive files in 1 session
3. Verify volume anomaly detection
4. Verify content classification of large transfers",Baseline fixture. 1GB+ synthetic customer data. Volume threshold config,"≥85% anomaly >3x baseline, content classification of anomalous transfers",P2
28,Data Leak → Exfil,Upload to recruitment sites,All roles (pre-departure),Upload resume with proprietary project names to job sites,"Resume mentions classified projects, internal client names, revenue figures",MEDIUM,Insider indicator,T1567 (Exfil Over Web Service),"Custom: Recruitment site upload + content inspection test
No standard Atomic — create custom job site upload detection ability",UEBA (behavioral),Flags job site visits but can't inspect content for proprietary info,At upload: 'Resume mentions Project Phoenix (classified). Remove before uploading?',PARTIAL,Browser Extension,LinkedIn / Indeed (test accounts),"1. Navigate to LinkedIn Jobs
2. Upload resume with internal project names
3. Verify recruitment site detection + content inspection
4. Clean resume test (should pass)","Two resumes: (a) internal project names + client refs, (b) generalized. Internal project dictionary","≥90% recruitment site detection, ≥70% internal reference detection in docs",P3
29,Data Leak → Exfil,Sync via unauthorized apps,All roles,"Install Resilio Sync/Syncthing, sync corporate folders to personal device",Sync tool mirrors Documents folder with corporate files to personal laptop,HIGH,2-5x/week,"T1567.002 (Exfil to Cloud Storage)
T1020 (Automated Exfiltration)","Atomic: T1020 (Automated Exfiltration — traffic duplication)
Caldera: Automated collection + exfil abilities
Custom: Sync app detection + directory sensitivity test",App blocking (partial),New sync tools emerge constantly; can't maintain blocklist,At sync: 'Resilio syncing Documents (contains corporate files) to external. Block corp folder sync?',PARTIAL,Desktop Agent,Resilio Sync / Syncthing (free),"1. Install Resilio Sync
2. Configure sync for corporate folder
3. Verify agent detects sync targeting corp directory
4. Personal media folder test (lower severity)",Sync app. Corporate folder with sensitive files. Personal media folder for comparison,"≥90% unauthorized sync detection, folder sensitivity classification",P2
30,Data Leak → Exfil,P2P / unauthorized file sharing,All roles,"Share corporate files via BitTorrent, WeTransfer, or P2P","Uses P2P for large datasets, or WeTransfer for 'quick share' bypassing corporate controls",CRITICAL,1-2x/week,"T1048 (Exfil Over Alternative Protocol)
T1567 (Exfil Over Web Service)","Atomic: T1048 (exfil via alternative protocol)
Custom: P2P client + WeTransfer upload detection test",Network filtering (partial),Blocks known P2P protocols but misses browser-based P2P and encrypted tunnels,At P2P: 'P2P detected. Corporate files should never go via P2P. Block and log?',YES,Desktop Agent,qBittorrent or WeTransfer (free),"1. Install qBittorrent or open WeTransfer
2. Upload/share corporate file
3. Verify P2P/unauthorized sharing detection
4. Verify file content classification",qBittorrent client. WeTransfer free. Corporate XLSX + source code ZIP,"≥95% P2P/WeTransfer detection, file content classified",P2
31,Secret Exposure,Commit secrets to git,Developer,"Push code with API keys, DB passwords, or tokens in source files",git push with AWS_SECRET_KEY or database password in config file,CRITICAL,10-20x/week,"T1552.001 (Unsecured Credentials in Files)
T1552.004 (Private Keys)","Atomic: T1552.001 (search files for passwords — findstr, grep)
Atomic: T1552.004 (copy private keys from .ssh)
Caldera: Credential harvesting abilities in Stockpile",Secret scanning (post-commit),Post-commit: secret already in git history; remediation painful,Pre-commit: 'AWS key in config.py:42. Move to vault via env var?' One-click vault migration,YES,IDE Plugin + Browser Ext,"GitHub (test repo), VS Code","1. Create repo with .env containing mock secrets
2. git add + git commit
3. Verify pre-commit hook intercepts
4. Test vault migration workflow
5. Clean commit test (should pass)","Repo: .env (AWS_KEY, DB_PASS), config.py (tokens), clean_file.py. Mock vault endpoint","≥99% common secret patterns detected, pre-commit intercept before history contamination",P0
32,Secret Exposure,Share credentials in Slack/Teams,"Developer, IT Admin","Post database password, API key, or SSH key in Slack channel or DM",Posts 'staging DB password is P@ssw0rd123' in #engineering channel,HIGH,10-30x/week,"T1552.001 (Unsecured Credentials)
T1115 (Clipboard Data)","Custom: Message content secret pattern detection test
Atomic: T1552.001 (search for credentials)
Caldera: Custom ability — scan chat messages for secret patterns",Slack DLP (partial),Enterprise DLP catches some patterns; high FP; Teams minimal DLP for secrets,At send: 'Looks like an API key. Share via vault link?' One-click vault generation,YES,Browser Extension,Slack (free workspace),"1. Open Slack test workspace
2. Type: (a) API key pattern, (b) password pattern, (c) SSH key
3. Verify extension intercepts before send
4. Test vault link generation
5. Normal message test (should pass)","Slack free workspace. Patterns: AKIA..., 'password is X', SSH key header. Mock vault endpoint","≥95% secret pattern detection in chat, vault link in <2 clicks",P0
